sigCd,name,season
47111,과메기,겨울
47111,물회,여름
47111,포항대게,겨울
47113,과메기,겨울
47113,죽도시장 회,
47130,황남빵,
47130,경주법주,
47130,경주한우,
47150,김천포도,가을
47150,김천자두,여름
47150,호두,
47170,안동간고등어,
47170,안동찜닭,
47170,안동소주,
47170,헛제사밥,
47170,안동포,
47170,안동마,겨울
47190,낙동강 은어,여름
47190,금오산 두부,
47210,영주사과,가을
47210,풍기인삼,가을
47210,풍기인견,
47230,영천포도,가을
47230,영천와인,
47250,상주곶감,겨울
47250,상주쌀,가을
47280,문경사과,가을
47280,문경오미자,가을
47280,문경약돌돼지,
47290,경산대추,가을
47290,한재미나리,봄
47720,군위사과,가을
47720,한밤마을 밤,가을
47730,의성마늘,여름
47730,의성흑마늘,
47730,의성자두,여름
47730,산수유,가을
47750,청송사과,가을
47760,영양고추,가을
47760,산나물,봄
47770,영덕대게,겨울
47770,영덕송이,가을
47770,영덕복숭아,여름
47820,청도반시,가을
47820,한재미나리,봄
47830,고령딸기,겨울
47830,고령수박,여름
47840,성주참외,여름
47850,칠곡포도,가을
47850,아카시아꿀,여름
47900,예천참기름,
47900,예천쌀,가을
47920,봉화송이,가을
47920,봉화한약우,
47920,봉화사과,가을
47930,울진대게,겨울
47930,울진송이,가을
47930,울진곰취,봄
47940,울릉호박엿,
47940,울릉오징어,
47940,명이나물,봄
47940,울릉약소,
